type,event,year,abbreviation,nameEn,nameFr,address,representative,comments,source1,source2,officeType,currentStateName,previousStateName
NGO,opened,1954,ACWW,,,Chêne-Bougeries,,,https://archives.ungeneva.org/lists-of-non-governmental-organizations/download?token=e58903d4fdb1e566ca5ebaac4a20b344b7f4c2b956d8f6102d69e88bad9e19f13,,,,
,infoChanged,,ACWW,,,,,,,,,,
NGO,closed,1980,ACWW,,,,,,,,,,
NGO,,1948,,Teams of Peace-Workers,Equipes de la Paix,"2, route de Malagnou",,Founded in GVA in 1946. Vladimir Socoline is involved (League USG),https://archives.ungeneva.org/correspondance-avec-le-centre-international-des-equipes-de-la-paix/download?token=d1101a29422c3d0f94ce9c65442dbd9a02a9f1cb9a57d1c15d265e4ce0dcfff3,,,,
NGO,,1949,,Teams of Peace-Workers,Equipes de la Paix,"2, route de Malagnou",,,https://archives.ungeneva.org/correspondance-avec-le-centre-international-des-equipes-de-la-paix/download?token=d1101a29422c3d0f94ce9c65442dbd9a02a9f1cb9a57d1c15d265e4ce0dcfff4,,,,
NGO,,1950,,Teams of Peace-Workers,Equipes de la Paix,"2, route de Malagnou",,,https://archives.ungeneva.org/correspondance-avec-le-centre-international-des-equipes-de-la-paix/download?token=d1101a29422c3d0f94ce9c65442dbd9a02a9f1cb9a57d1c15d265e4ce0dcfff5,,,,
NGO,,1947,OSE,World Union OSE,Union des œuvres de secours aux enfants,"11, rue du Mont-Blanc",,Moved from Paris in 1939. The HQ moved back to Paris. PR in GVA.,https://archives.ungeneva.org/correspondence-with-world-union-ose/download?token=1c072f89c4d9dc4a1f48b34bc1ed544cc59ecadff3b2f9e48063fa5b97765285,,Geneva Office,,
NGO,,1948,OSE,World Union OSE,Union des œuvres de secours aux enfants,"11, rue du Mont-Blanc",,,https://archives.ungeneva.org/united-nations-appeal-for-children-documentation-of-the-meeting-of-february-1948-geneva/download?token=22f15a313364b07e5188f57b5de110fcfd2845d83a8dcf57ee2a60cfbc493480,,,,
NGO,,1949,,World Union OSE,Union des œuvres de secours aux enfants,"11, rue du Mont-Blanc",,,YB1949,,,,
NGO,,1954,OSE,World Union OSE,Union des œuvres de secours aux enfants,"11, rue du Mont-Blanc",L. Gurvic,,https://archives.ungeneva.org/correspondence-with-world-union-ose/download?token=760f2b3a447c60e5e13c65d7d63c86708cc4829c20dfb9d268957202c4c56ae0,,,,
NGO,,1957,OSE,World Union OSE,Union des œuvres de secours aux enfants,"11, rue du Mont-Blanc",L. Gurvic,,https://archives.ungeneva.org/correspondence-with-world-union-ose/download?token=04e6bdd37aed91cd13d70f5a1e2eb48e9efdfc2e05ea941303dcbbdbc4878741,,,,
NGO,,1964,,Airlines Staff International Association,,Cointrin,,Swissair,YB1964-65,,,,
NGO,,1972,AACC,Airport Association Coordinating Council,,Cointrin (Airport),,,https://archives.ungeneva.org/ngos-preliminary-requests-for-consultation-status/download?token=ef8cf286f34460c1bf1e675edea2b8d91c736a6aac68ac8ea46c6ed13e453b5e,,,,
NGO,,1973,AACC,Airport Association Coordinating Council,,Cointrin (Airport),,,https://archives.ungeneva.org/ngos-preliminary-requests-for-consultation-status/download?token=ef8cf286f34460c1bf1e675edea2b8d91c736a6aac68ac8ea46c6ed13e453b5e,,Permanent Secretariat,,
NGO,,1974,AACC,Airport Association Coordinating Council,,Cointrin (Airport),,,YB1974,,,,
NGO,,1958,,Alliance of the Reformed Churches Throughout the World Holding the Presbyterian Order / The World Presbyterian Alliance,,"17, route de Malagnou",,,YB1958-59,,,,
NGO,,1948,,The World Presbyterian Alliance,,"17, route de Malagnou",,,https://archives.ungeneva.org/correspondence-with-and-concerning-the-commission-of-the-churches-on-international-affairs-of-the-world-council-of-churches-conseil-oecumenique-also-foyer-john-knox-oecumpical-inistitute/download?token=5f080e3ee9bc1c106d03a040d9c1ebcd7f4322bb4824ec891fe1998e73e03653,,,,
NGO,,1964,,Alliance of the Reformed (Presbyterian) Churches / Alliance of the Reformed Churches holding the Presbyterian System,Alliance réformée mondiale,"150, route de Ferney",,,YB1964-65,,Seat,,
NGO,,1970,,Alliance of the Reformed Churches Throughout the World Holding the Presbyterian Order / The World Presbyterian Alliance,,"150, route de Ferney",,,YB1970-71,,,,
NGO,,1949,,Anti-Communist International Union,Entente internationale anticommuniste,"8, rue Maurice",,,YB1949,,,,
NGO,,1971,,Amnesty International,,"44bis, chemin des Corbillettes (Cointrin)",,,https://archives.ungeneva.org/correspondence-with-organizations-amnesty-international/download?token=91c8f25df7dfaaf91defd45566ed6bf056f2670390acc4e11a4012a94b6e7d4c,,,,
NGO,,1958,,Association for Research into Periondontal Diseases (ARPA International),,"30, rue Lombard (Institut Universotaire de médecine dentaire)",,,YB1958-59,,,,
NGO,,1964,,Association for Research on Parodontal Diseases (ARPA International),,"30, rue Lombard (Institut Universotaire de médecine dentaire)",,,YB1964-65,,,,
NGO,,1970,,Association for Research on Periodontal Diseases (ARPA),,"30, rue Lombard (Institut Universotaire de médecine dentaire)",,,YB1970-71,,,,
NGO,,1958,,Association of Institutes for European Studies,,,,,YB1958-59,,,,
NGO,,1964,,Association of Institutes for European Studies,,"122, rue de Lausanne (Villa Moynier)",,,YB1964-65,,Secretariat: European Cultural Centre,,
NGO,,1970,,Association of Institutes for European Studies,,"122, rue de Lausanne (Villa Moynier)",,,YB1970-71,,,,
NGO,,1974,,Association of Institutes for European Studies,,"122, rue de Lausanne (Villa Moynier)",,,YB1974,,,,
NGO,,1950,,Associated Country Women of the World,Association mondiale des femmes rurales,"5, chemin Flombards (Chêne-Bougeries)",PR- Marie Zwahlen,,,,,,
NGO,,1954,,Associated Country Women of the World,Association mondiale des femmes rurales,Chêne-Bougeries,,,https://archives.ungeneva.org/lists-of-non-governmental-organizations/download?token=e58903d4fdb1e566ca5ebaac4a20b344b7f4c2b956d8f6102d69e88bad9e19f57,,,,
NGO,,1974,,Association for the Taxonomic Study of Tropical African Flora,,"192, route de Lausanne (Jardin botanique)",,,YB1974,,,,
