year,filterOrgCategory,filterRegion,filterAffiliation,filterIOType,nameEN,nameFR,addressOSM,addressInfoboxDisplay,locationBuilding,city,country,representativeName,representativeGender,event,note1,note2,source1,source2,photos
1936,Permanent Representation,Southern Asia,,,Afghanistan,Afghanistan,"5, Avenue Alfred Bertrand",,,Genève,Switzerland,Mohammed Haidar,,,"Officially in the list of Permanent Delegations accredited to the League. Afghanistan opened an office during the Conference on Disarmament in 1932. The delegation was in contact with the League Secretariat. However, there was no permanent delegation before according to CH authorities",,https://archives.ungeneva.org/communications-with-the-government-of-afghanistan/download,https://archives.ungeneva.org/y936-75ah-na6t/download?token=711984a15321da3e095e7999377a587d5eb07c13ca601781cf57bfac4f7c4add,
1937,Permanent Representation,Southern Asia,,,Afghanistan,Afghanistan,"23, Avenue de Beau-Séjour",,,Genève,Switzerland,Mohammed Haidar,,addressChange,address change in September 1937,,https://archives.ungeneva.org/communications-with-the-government-of-afghanistan/download,https://archives.ungeneva.org/annual-reports-1935-afghanistan-2/download?token=789392538501c011f994c1b8bd1da0e87a8327a519c37e8bda7879a83a7fffc2,
1938,Permanent Representation,Southern Asia,,,Afghanistan,Afghanistan,"23, Avenue de Beau-Séjour",,,Genève,Switzerland,Mohammed Haidar,,,,,https://archives.ungeneva.org/depressions-economiques-afghanistan/download?token=56bf1db630cce0e57d9be073f706b12a75bec41ac36bcbfbbd3f1bf02e6f8ff3,,
1939,Permanent Representation,Southern Asia,,,Afghanistan,Afghanistan,"23, Avenue de Beau-Séjour",,,Genève,Switzerland,Mohammed Haidar,,closed,closed,,https://archives.ungeneva.org/communications-with-the-government-of-afghanistan/download,,
1983,Permanent Representation,Southern Asia,,,Afghanistan,Afghanistan,"20, Rue Crespin",,,Genève,Switzerland,Akbar Kherad,,addressChange,Appointed in August,,B1983_dec,Source for region filters: https://unstats.un.org/unsd/methodology/m49/#ftn13,
1983,Permanent Representation,Southern Asia,,,Afghanistan,Afghanistan,"20, Rue Crespin",,,Genève,Switzerland,Akbar Kherad,,representativeChange,Appointed in August,,B1983_dec,,
1984,Permanent Representation,Southern Asia,,,Afghanistan,Afghanistan,"20, Rue Crespin",,,Genève,Switzerland,Akbar Kherad,,,,,B1984_jan,,
1985,Permanent Representation,Southern Asia,,,Afghanistan,Afghanistan,"20, Rue Crespin",,,Genève,Switzerland,Akbar Kherad,,,,,B1985_jan,,
1986,Permanent Representation,Southern Asia,,,Afghanistan,Afghanistan,"20, Rue Crespin",,,Genève,Switzerland,Akbar Kherad,,,,,no,,
1987,Permanent Representation,Southern Asia,,,Afghanistan,Afghanistan,"20, Rue Crespin",,,Genève,Switzerland,Akbar Kherad,,,,,B1987_jan,,
1988,Permanent Representation,Southern Asia,,,Afghanistan,Afghanistan,"20, Rue Crespin",,,Genève,Switzerland,Akbar Kherad,,,,,no,,
1989,Permanent Representation,Southern Asia,,,Afghanistan,Afghanistan,"20, Rue Crespin",,,Genève,Switzerland,Akbar Kherad,,,,,no,,
1990,Permanent Representation,Southern Asia,,,Afghanistan,Afghanistan,"20, Rue Crespin",,,Genève,Switzerland,Mohammad Nabi Amani,,representativeChange,Appointed in January,,B1990_march,,
1991,Permanent Representation,Southern Asia,,,Afghanistan,Afghanistan,"4, Chemin des Hauts-Cornillons, Chambésy, Pregny-Chambésy",,,Genève,Switzerland,Mohammad Nabi Amani,,addressChange,,,,,
1992,Permanent Representation,Southern Asia,,,Afghanistan,Afghanistan,"4, Chemin des Hauts-Cornillons, Chambésy, Pregny-Chambésy",,,Genève,Switzerland,Mohammad Nabi Amani,,,,,B1992_April,,
1993,Permanent Representation,Southern Asia,,,Afghanistan,Afghanistan,"4, Chemin des Hauts-Cornillons, Chambésy, Pregny-Chambésy",,,Genève,Switzerland,Sherahmad Nasri,,representativeChange,Appointed in June,,B1993:April,,
1994,Permanent Representation,Southern Asia,,,Afghanistan,Afghanistan,"63, Rue de Lausanne",,,Genève,Switzerland,Sherahmad Nasri,,addressChange,,,B1994_april,,
1995,Permanent Representation,Southern Asia,,,Afghanistan,Afghanistan,"63, Rue de Lausanne",,,Genève,Switzerland,Sherahmad Nasri,,,,,B1995_April,,
1996,Permanent Representation,Southern Asia,,,Afghanistan,Afghanistan,"63, Rue de Lausanne",,,Genève,Switzerland,vacant,,representativeChange,,,B1996_april,,
1997,Permanent Representation,Southern Asia,,,Afghanistan,Afghanistan,"63, Rue de Lausanne",,,Genève,Switzerland,vacant,,,,,B1997_april,,
1998,Permanent Representation,Southern Asia,,,Afghanistan,Afghanistan,"63, Rue de Lausanne",,,Genève,Switzerland,vacant,,,,,B1998_april,,
1999,Permanent Representation,Southern Asia,,,Afghanistan,Afghanistan,"63, Rue de Lausanne",,,Genève,Switzerland,vacant,,,,,B1999_april,,
2000,Permanent Representation,Southern Asia,,,Afghanistan,Afghanistan,"63, Rue de Lausanne",,,Genève,Switzerland,vacant,,,,,B2000_april,,
1996,Permanent Representation,Cross-regional Members,,,Agency of Cultural and Technical Cooperation (ACCT),Agence de coopération culturelle et techniques (ACCT),"46, Avenue Blanc",,,Genève,Switzerland,Xavier Michel,,representativeChange,Appointed in September,,no,,
1997,Permanent Representation,Cross-regional Members,,,Agency of Cultural and Technical Cooperation (ACCT),Agence de coopération culturelle et techniques,"46, Avenue Blanc",,,Genève,Switzerland,Xavier Michel,,,,,no,,
1998,Permanent Representation,Cross-regional Members,,,Agency of Cultural and Technical Cooperation (ACCT),Agence de coopération culturelle et techniques,"46, Avenue Blanc",,,Genève,Switzerland,Xavier Michel,,,,,B1998_april,,
1999,Permanent Representation,Cross-regional Members,,,Organisation internationale de la Francophonie (OIF),Organisation de la Francophonie (OIF),"46, Avenue Blanc",,,Genève,Switzerland,Xavier Michel,,nameChange,,,no,,
2000,Permanent Representation,Cross-regional Members,,,Organisation internationale de la Francophonie (OIF),Organisation de la Francophonie (OIF),"46, Avenue Blanc",,,Genève,Switzerland,Xavier Michel,,,,,B2000_april,,
